pollster,date,sample,moe,Biden (D),Trump (R),spread,state,Kennedy (I),West (I)
The Hill/Emerson,10/26 - 10/29,2000 LV,2.1,42,47,Trump+5,nevada,NA,NA
The Hill/Emerson,9/8 - 9/10,1000 LV,3.0,40,43,Trump+3,nevada,NA,NA
The Hill/Emerson,7/7 - 7/10,2000 RV,2.1,40,43,Trump+3,nevada,NA,NA
RCP Average,4/4 - 6/3,—,—,42.5,47.8,Trump+5.3,north-carolina,NA,NA
East Carolina U.,5/31 - 6/3,1332 RV,3.1,43,48,Trump+5,north-carolina,NA,NA
AmGreatness/NSOR,5/29 - 6/2,600 LV,4.0,41,49,Trump+8,north-carolina,NA,NA
Bloomberg/MrnConsult,5/7 - 5/13,704 RV,4.0,42,49,Trump+7,north-carolina,NA,NA
Cook Political Report,5/6 - 5/13,601 LV,4.0,41,48,Trump+7,north-carolina,NA,NA
High Point University,5/2 - 5/9,804 RV,3.1,42,44,Trump+2,north-carolina,NA,NA
The Hill/Emerson,4/25 - 4/29,1000 RV,3.0,42,47,Trump+5,north-carolina,NA,NA
Mason-Dixon,4/9 - 4/13,635 RV,4.0,43,49,Trump+6,north-carolina,NA,NA
Bloomberg/MrnConsult,4/8 - 4/13,703 RV,4.0,41,51,Trump+10,north-carolina,NA,NA
Quinnipiac,4/4 - 4/8,1401 RV,2.6,46,48,Trump+2,north-carolina,NA,NA
High Point University,3/22 - 3/30,829 RV,3.7,42,45,Trump+3,north-carolina,NA,NA
Wall Street Journal,3/17 - 3/24,600 RV,4.0,43,49,Trump+6,north-carolina,NA,NA
Marist,3/11 - 3/14,1197 RV,3.6,48,51,Trump+3,north-carolina,NA,NA
Bloomberg/MrnConsult,3/8 - 3/12,699 RV,4.0,43,49,Trump+6,north-carolina,NA,NA
WRAL-TV/SurveyUSA,3/3 - 3/9,598 LV,4.9,45,50,Trump+5,north-carolina,NA,NA
Bloomberg/MrnConsult,2/12 - 2/20,704 RV,5.0,41,50,Trump+9,north-carolina,NA,NA
The Hill/Emerson,2/14 - 2/16,1000 RV,3.0,44,47,Trump+3,north-carolina,NA,NA
FOX News,2/8 - 2/12,1099 RV,3.0,45,50,Trump+5,north-carolina,NA,NA
Bloomberg/MrnConsult,1/16 - 1/21,706 RV,4.0,39,49,Trump+10,north-carolina,NA,NA
Bloomberg/MrnConsult,11/27 - 12/6,704 RV,4.0,40,49,Trump+9,north-carolina,NA,NA
Bloomberg/MrnConsult,10/30 - 11/7,702 RV,—,39,48,Trump+9,north-carolina,NA,NA
Bloomberg/MrnConsult,10/10 - 10/15,702 RV,—,43,47,Trump+4,north-carolina,NA,NA
Civitas/Cygnal (R),3/26 - 3/27,605 LV,4.0,45,43,Biden+2,north-carolina,NA,NA
The Hill/Emerson,10/27 - 10/29,1000 LV,3.0,40,51,Trump+11,north-carolina,NA,NA
WRAL-TV/SurveyUSA,9/28 - 10/2,918 RV,3.9,45,43,Biden+2,north-carolina,NA,NA
The Hill/Emerson,9/15 - 9/16,1000 LV,3.0,42,47,Trump+5,north-carolina,NA,NA
East Carolina U.,9/7 - 9/10,1020 LV,3.6,45,46,Trump+1,north-carolina,NA,NA
East Carolina U.,5/19 - 5/20,635 RV,4.5,37,46,Trump+9,north-carolina,NA,NA
RCP Average,4/3 - 6/18,—,—,47.1,47.4,Trump+0.3,wisconsin,NA,NA
The Hill/Emerson,6/13 - 6/18,1000 RV,3.0,44,47,Trump+3,wisconsin,NA,NA
Bloomberg/MrnConsult,5/7 - 5/13,693 RV,4.0,46,47,Trump+1,wisconsin,NA,NA
Cook Political Report,5/6 - 5/13,503 LV,4.4,45,45,Tie,wisconsin,NA,NA
Quinnipiac,5/2 - 5/6,1457 RV,2.6,50,44,Biden+6,wisconsin,NA,NA
NY Times/Siena,4/28 - 5/9,614 LV,4.5,46,47,Trump+1,wisconsin,NA,NA
The Hill/Emerson,4/25 - 4/29,1000 RV,3.0,45,47,Trump+2,wisconsin,NA,NA
CBS News,4/19 - 4/25,1245 LV,3.2,49,50,Trump+1,wisconsin,NA,NA
FOX News,4/11 - 4/16,1198 RV,3.0,48,48,Tie,wisconsin,NA,NA
Bloomberg/MrnConsult,4/8 - 4/13,803 RV,3.0,44,48,Trump+4,wisconsin,NA,NA
Marquette,4/3 - 4/10,814 RV,4.8,49,51,Trump+2,wisconsin,NA,NA
Wall Street Journal,3/17 - 3/24,600 RV,4.0,46,46,Tie,wisconsin,NA,NA
The Hill/Emerson,3/14 - 3/18,1000 RV,3.0,43,46,Trump+3,wisconsin,NA,NA
Bloomberg/MrnConsult,3/8 - 3/14,697 RV,4.0,46,45,Biden+1,wisconsin,NA,NA
Bloomberg/MrnConsult,2/12 - 2/20,702 RV,4.0,42,46,Trump+4,wisconsin,NA,NA
The Hill/Emerson,2/20 - 2/24,1000 RV,3.0,42,45,Trump+3,wisconsin,NA,NA
FOX News,1/26 - 1/30,1172 RV,3.0,47,47,Tie,wisconsin,NA,NA
Marquette,1/24 - 1/31,930 RV,4.2,49,49,Tie,wisconsin,NA,NA
Bloomberg/MrnConsult,1/16 - 1/21,697 RV,4.0,44,49,Trump+5,wisconsin,NA,NA
Bloomberg/MrnConsult,11/27 - 12/6,681 RV,4.0,41,45,Trump+4,wisconsin,NA,NA
Bloomberg/MrnConsult,10/30 - 11/7,675 RV,—,46,47,Trump+1,wisconsin,NA,NA
Emerson,10/30 - 11/4,819 LV,3.0,45,45,Tie,wisconsin,NA,NA
Marquette,10/26 - 11/2,908 RV,4.5,50,48,Biden+2,wisconsin,NA,NA
NY Times/Siena,10/22 - 11/3,603 RV,4.6,47,45,Biden+2,wisconsin,NA,NA
Bloomberg/MrnConsult,10/10 - 10/15,700 RV,—,44,46,Trump+2,wisconsin,NA,NA
Emerson,10/1 - 10/4,532 RV,4.2,40,42,Trump+2,wisconsin,NA,NA
Marquette,6/8 - 6/13,913 RV,4.3,52,43,Biden+9,wisconsin,NA,NA
The Hill/Emerson,10/27 - 10/29,1000 LV,3.0,44,43,Biden+1,wisconsin,NA,NA
Emerson,9/16 - 9/18,860 LV,3.3,45,44,Biden+1,wisconsin,NA,NA
RCP Average,3/11 - 6/9,—,—,42.8,50.4,Trump+7.6,florida,NA,NA
Florida Atlantic University,6/8 - 6/9,777 LV,3.6,43,49,Trump+6,florida,NA,NA
FOX News,6/1 - 6/4,1075 RV,3.0,46,50,Trump+4,florida,NA,NA
CBS News,5/10 - 5/16,1181 LV,3.6,45,54,Trump+9,florida,NA,NA
Florida Atlantic University,4/15 - 4/17,865 RV,3.3,42,50,Trump+8,florida,NA,NA
Emerson,4/9 - 4/10,1000 RV,3.0,38,51,Trump+13,florida,NA,NA
WMNF/St. Pete Polls,3/11 - 3/13,1963 LV,2.2,42,48,Trump+6,florida,NA,NA
Florida Atlantic University,10/27 - 11/11,946 RV,3.2,39,49,Trump+10,florida,NA,NA
Florida Atlantic University,6/27 - 7/1,1081 RV,3.0,39,49,Trump+10,florida,NA,NA
Emerson,3/13 - 3/15,1153 RV,2.8,44,44,Tie,florida,NA,NA
Univ. of North Florida,2/25 - 3/7,1452 RV,2.6,43,50,Trump+7,florida,NA,NA
Florida Atlantic University,10/12 - 10/16,719 LV,3.7,41,45,Trump+4,florida,NA,NA
USA Today/Suffolk,9/15 - 9/18,500 LV,4.4,44,47,Trump+3,florida,NA,NA
USA Today/Suffolk,1/26 - 1/29,500 LV,4.4,44,47,Trump+3,florida,NA,NA
RCP Average,10/31 - 3/11,—,—,42,52,Trump+10.0,ohio,NA,NA
ONU/SurveyUSA,3/6 - 3/11,1241 LV,3.3,38,50,Trump+12,ohio,NA,NA
The Hill/Emerson,3/7 - 3/10,1300 RV,2.6,45,55,Trump+10,ohio,NA,NA
Emerson,1/23 - 1/25,1844 RV,2.3,36,47,Trump+11,ohio,NA,NA
WJW-TV/Emerson,11/10 - 11/13,1000 RV,3.0,38,50,Trump+12,ohio,NA,NA
Data for Progress (D)**,10/31 - 11/2,597 LV,4.0,43,51,Trump+8,ohio,NA,NA
Emerson,10/2 - 10/4,438 RV,4.5,33,45,Trump+12,ohio,NA,NA
USA Today/Suffolk*,7/9 - 7/12,500 LV,4.4,38,44,Trump+6,ohio,NA,NA
RCP Average,2/12 - 3/2,—,—,32,53.5,Trump+21.5,montana,NA,NA
The Hill/Emerson,2/26 - 3/2,1000 RV,3.0,35,56,Trump+21,montana,NA,NA
KULR-8/SurveyUSA,2/12 - 2/15,549 LV,4.5,29,51,Trump+22,montana,NA,NA
Emerson,10/1 - 10/4,447 RV,4.6,28,49,Trump+21,montana,NA,NA
RCP Average,2/2 - 2/16,—,—,35.7,51.7,Trump+16.0,south-carolina,NA,NA
The Hill/Emerson,2/14 - 2/16,1000 RV,3.0,37,51,Trump+14,south-carolina,NA,NA
The Citadel,2/5 - 2/11,1000 RV,4.1,35,54,Trump+19,south-carolina,NA,NA
Winthrop,2/2 - 2/10,1717 RV,2.4,35,50,Trump+15,south-carolina,NA,NA
RCP Average,2/22 - 6/2,—,—,54.7,33.3,Biden+21.4,california,NA,NA
PPIC,5/23 - 6/2,1098 LV,3.7,55,31,Biden+24,california,NA,NA
PPIC,3/19 - 3/25,1089 LV,3.9,54,31,Biden+23,california,NA,NA
LA Times/Berkeley IGS,2/22 - 2/27,6536 RV,3.5,52,34,Biden+18,california,NA,NA
The Hill/Emerson,2/24 - 2/27,1000 LV,3.0,57,35,Biden+22,california,NA,NA
The Hill/Emerson,2/16 - 2/18,1000 RV,3.0,55,33,Biden+22,california,NA,NA
PPIC,2/6 - 2/13,1075 LV,3.9,55,32,Biden+23,california,NA,NA
Emerson,1/11 - 1/14,1087 RV,2.9,54,34,Biden+20,california,NA,NA
LA Times/Berkeley IGS,1/1 - 1/4,4471 LV,2.0,56,37,Biden+19,california,NA,NA
Emerson,11/11 - 11/14,1000 RV,3.0,50,37,Biden+13,california,NA,NA
PPIC,11/9 - 11/16,1113 LV,3.8,54,30,Biden+24,california,NA,NA
LA Times/Berkeley IGS,10/24 - 10/30,4506 LV,2.5,46,31,Biden+15,california,NA,NA
PPIC,10/3 - 10/19,1395 LV,4.0,60,29,Biden+31,california,NA,NA
PPIC,8/25 - 9/5,1146 LV,3.7,57,26,Biden+31,california,NA,NA
LA Times/Berkeley IGS,8/24 - 8/29,6030 RV,2.0,51,31,Biden+20,california,NA,NA
PPIC,6/7 - 6/29,1092 LV,3.8,57,31,Biden+26,california,NA,NA
PPIC,5/17 - 5/24,1062 LV,3.9,58,25,Biden+33,california,NA,NA
Berkeley IGS/LA Times,2/14 - 2/20,5149 LV,2.0,59,29,Biden+30,california,NA,NA
The Hill/Emerson,5/6 - 5/8,1115 RV,2.9,56,35,Biden+21,maryland,NA,NA
The Hill/Emerson,2/12 - 2/13,1000 RV,3,55,32,Biden+23,maryland,NA,NA
Gonzales Research,9/18 - 9/28,818 RV,3.5,56,30,Biden+26,maryland,NA,NA
Gonzales Research,5/30 - 6/6,841 RV,3.5,52,35,Biden+17,maryland,NA,NA
RCP Average,5/28 - 6/13,—,—,47.5,40,Biden+7.5,new-york,NA,NA
Siena,6/12 - 6/13,805 RV,4.1,47,39,Biden+8,new-york,NA,NA
The Hill/Emerson,5/28 - 5/29,1000 RV,3.0,48,41,Biden+7,new-york,NA,NA
Siena,5/13 - 5/15,1191 RV,3.9,47,38,Biden+9,new-york,NA,NA
Siena,4/15 - 4/17,806 RV,4.1,47,37,Biden+10,new-york,NA,NA
Siena,2/12 - 2/14,806 RV,4.2,48,36,Biden+12,new-york,NA,NA
Siena,1/14 - 1/17,807 RV,4.5,46,37,Biden+9,new-york,NA,NA
Siena,11/12 - 11/15,803 RV,4.6,46,36,Biden+10,new-york,NA,NA
Siena,10/15 - 10/19,1225 RV,3.4,46,37,Biden+9,new-york,NA,NA
Siena,9/10 - 9/13,804 RV,4.3,52,31,Biden+21,new-york,NA,NA
Siena,8/13 - 8/16,803 RV,4.4,47,34,Biden+13,new-york,NA,NA
Siena,6/20 - 6/25,817 RV,3.9,50,28,Biden+22,new-york,NA,NA
The Hill/Emerson,10/28 - 10/31,1000 LV,3.0,52,37,Biden+15,new-york,NA,NA
The Hill/Emerson,10/20 - 10/24,1000 LV,3.0,47,40,Biden+7,new-york,NA,NA
The Hill/Emerson,9/4 - 9/6,1000 LV,3.0,53,38,Biden+15,new-york,NA,NA
WNYT-TV/SurveyUSA,8/17 - 8/21,1046 LV,3.8,49,29,Biden+20,new-york,NA,NA
Emerson,10/1 - 10/4,435 RV,4.7,24,57,Trump+33,arkansas,NA,NA
The Hill/Emerson,3/2 - 3/5,1000 RV,3,34,55,Trump+21,indiana,NA,NA
Emerson,10/1 - 10/4,462 RV,4.5,29,48,Trump+19,indiana,NA,NA
Emerson,10/1 - 10/3,450 RV,4.6,26,55,Trump+29,kentucky,NA,NA
The Advocate/NOLA.com,4/22 - 4/26,800 RV,3.5,38,52,Trump+14,louisiana,NA,NA
Emerson,10/1 - 10/4,419 RV,4.8,17,54,Trump+37,north-dakota,NA,NA
Emerson,10/1 - 10/3,447 RV,4.6,27,55,Trump+28,oklahoma,NA,NA
Emerson,10/25 - 10/28,1000 LV,3,30,59,Trump+29,oklahoma,NA,NA
Emerson,10/1 - 10/4,410 RV,4.8,22,55,Trump+33,tennessee,NA,NA
Vanderbilt University,4/19 - 4/23,1003 RV,3.6,26,42,Trump+16,tennessee,NA,NA
Deseret News/Hinckley Inst.,6/4 - 6/7,857 RV,3.4,25,57,Trump+32,utah,NA,NA
Deseret News/Hinckley Inst.*,1/16 - 1/21,801 RV,3,33,43,Trump+10,utah,NA,NA
Emerson,10/25 - 10/28,825 LV,3.3,34,47,Trump+13,utah,NA,NA
Emerson,10/1 - 10/4,539 RV,4.2,23,59,Trump+36,west-virginia,NA,NA
